"","IBD7_fpkm","IBD7_1_fpkm","IBD8_fpkm","IBD8_1_fpkm","IBD10_fpkm","IBD10_1_fpkm","hCO_wo_Tc_fpkm","hCO_wo_Tc_1_fpkm"
"cDC",0.00173660193968788,0.00155334513606089,0.00220796657966843,0.000959133893207513,0.00106190375782858,5.5701337997287e-20,1.12928376523132e-20,6.23416556234334e-22
"Chondrocytes",0,0.00351964791420034,4.00283744086546e-21,0.00268866079590121,0,0.000158836491955511,5.35276190756706e-19,1.40076856917066e-18
"Class-switched memory B-cells",0.000383764157879588,0.00044771182060204,0.000194783993046949,5.92857980357518e-19,0.000248067389014862,0,0.00028296127573124,0.00131291457208943
"CLP",0.00139070027714535,1.12652060016252e-22,0,0.000361294931019989,0.00180624912929804,0.000766903031162104,0.000437315618008528,8.12010024400837e-20
"CMP",6.79731329683201e-21,0.00016654555368505,0.000321414525395563,1.32874129642707e-19,8.93782241056483e-21,3.26823721835906e-19,0.00206260523026747,0.00369802963381942
"DC",0.000141897972216232,0.000524224187544814,0.00167361952759907,0,0.000982861370052156,0.000363836062494479,8.80345789828935e-20,0
"Endothelial cells",0,0,0,0,2.8492303024414e-19,0,4.8606588873048e-19,2.82835057105453e-19
"Eosinophils",1.96965841129249e-20,1.27394777719241e-19,4.5882228025746e-23,0,0,0,0,0
"Epithelial cells",1.89191454453699e-05,4.4742088167592e-20,0,1.37700555817426e-20,2.56435793933305e-19,0,4.10810543282796e-06,6.01723240502504e-20
"Erythrocytes",0,0,2.9642977243028e-06,3.79924438315185e-21,0,6.26914091093529e-20,0,0
"Fibroblasts",0.00476918417032521,0.0211347499589181,0,0.00222110240879015,0.0231930857725965,0.00948527296520054,0,0.00248168004570921
"GMP",3.82386703032516e-19,0.00108823575332927,0.00303003774928744,0,0,0,0.000283846204230444,0
"Hepatocytes",0,1.27522813872672e-19,0,0,2.72325285131313e-20,0,0,8.25043827864117e-05
"HSC",7.66261021935579e-19,0,0.000267095961563842,0,0.0184757566867109,4.5336239436046e-19,0,0.00197767281386772
"iDC",0,1.08164597978239e-18,0.00121231405864426,2.0007568558688e-18,0,0,2.73321546711897e-19,0.000630014119328113
"Keratinocytes",0,9.91591290048203e-21,8.470329472543e-22,0,1.96718233715588e-22,0,0,2.63342333699541e-20
"ly Endothelial cells",1.12469578001444e-20,6.60579736037726e-21,1.53939680043531e-21,0,0,0,4.2011955965021e-20,0
"Macrophages",6.12893173811765e-20,2.94241771010115e-19,0.000131580456452725,0,0,2.73051673247006e-19,2.41682307918178e-21,0
"Macrophages M1",0,0.000923848556807112,5.4300136293464e-05,8.92740582017131e-20,0.000761869549886356,0.000800865149801821,3.96952618495987e-20,0
"Macrophages M2",0.0026987700989968,0.00275089691361739,0.00125095457356693,0.00224130283897533,0.000487445402103659,0.00105374049047694,1.01011538758185e-19,1.04617525401616e-20
"Mast cells",0,2.42949936861241e-22,4.02360564460173e-20,0,6.47168424227829e-20,1.97764566222354e-20,0.00014481479261218,0.000332855381184899
"Megakaryocytes",0,0,2.79997870653061e-05,5.04131631991937e-23,1.57321860570148e-05,0,3.79702640151245e-05,0.000206903842598985
"Melanocytes",7.42101746706012e-05,3.2680021295146e-19,0,4.84629228341808e-19,0,5.53481250511105e-20,0.000167424394235106,0
"Memory B-cells",4.26758496587478e-20,0,0.000121064167120497,1.01404449623992e-19,0,5.78133060211883e-20,0,1.83729089287728e-19
"MEP",0.000542103898718119,1.51510510583455e-20,0.000472367808523065,9.96383104575532e-20,0.00141328498883994,4.46681012974749e-20,0.0040974093333028,0.00185614712296438
"Mesangial cells",0.00393391876906244,0.00344236932246721,0.000942616045173136,0.00154755819832124,0.00215020990573557,0.00310785231895196,7.81737467127428e-19,0
"Monocytes",1.08771485405308e-19,0,1.19961763969874e-19,2.90825773029225e-19,0,0,2.19614707531319e-19,0
"MPP",0.00016151554467104,0.000479398122148882,0.0011537287262563,0.000389036018314013,1.16939033800965e-18,0.00162758085453656,0,0
"MSC",0.0119368997308837,0,2.8694771264005e-19,0,0,0,0.0160122245697092,2.20097929942926e-18
"mv Endothelial cells",9.65385506285842e-20,6.50256105162519e-20,1.87891307944376e-21,1.60755699821363e-20,0,3.38673418468242e-20,3.06053032718525e-20,0
"Myocytes",0.000874295054647302,0.0105918803537732,0.00145473679740321,0,0,0,0.00292411117324342,0.000269209065544925
"naive B-cells",3.7415439864005e-19,0,0,1.20636352248509e-19,0,0,1.24551717209215e-19,0
"Neurons",9.56053911341611e-05,5.70328897344808e-06,0.000176439988638298,0.000108154525507722,0,1.78449357956963e-05,0.000225460785069883,7.26538643460987e-05
"Neutrophils",1.29875390951629e-19,0.000269895127400622,7.74064278828031e-05,2.44763248043083e-20,0,0,1.20600656907066e-20,0.000154363977999066
"NK cells",4.0878596604448e-19,1.32603227876157e-19,0,0,0.0165337634659106,0.00370190361417804,7.87399550030107e-19,0
"NKT",0.000996886410319267,2.09226163605659e-20,8.37116400790871e-20,0.0022062013205711,4.14235954118846e-19,0,0.00574719253405057,1.70007961909403e-21
"Osteoblast",0.00458758925181456,4.15256468396574e-20,0.0108377277677019,0,4.404265297101e-18,0.00408517159029615,0.000923151625121746,0
"pDC",0.00222483220215734,0.0014745420480636,0.00177244228782244,0.0013660715778702,0.0378496923472581,0.0251696155854303,0,0
"Pericytes",0.00940327509500054,0.00293514727120997,1.68376577235336e-18,1.54424449558316e-19,4.24992517631854e-06,0,9.15736230121415e-05,0.0173527355817849
"Plasma cells",7.98691342338459e-21,0.00012156536571256,3.08405640462601e-21,7.67855441788257e-20,8.79781154744785e-20,0,0.000393012050206075,9.00650455186914e-05
"Platelets",0,0,3.04746867425558e-20,8.57644232519867e-20,0,0,0.000569450326111342,0
"Preadipocytes",0,1.06853720414234e-19,0.000941713150132133,9.86761458525388e-19,1.98542855234575e-18,0,0,0
"pro B-cells",0.00170902038302771,0.000353660639611902,0.00153300261301712,0.00102142289800771,0,9.33812001686086e-05,0.0023772056502906,0.00105598793680133
"Sebocytes",1.06192851395204e-20,2.47384146919075e-20,0,0,1.18281480215667e-20,0,0,0
"Skeletal muscle",7.63778745110692e-20,0,9.57682900781399e-19,0,1.13551972358987e-18,2.18050629943841e-18,0,0
"Smooth muscle",0.0402843680327277,0.0480671511219666,0.0374694705849324,0.0325720773346277,0.0590915272588777,0.0383350876786252,1.66195410668311e-18,0.0369528409568926
"Tgd cells",8.53192912541376e-19,1.70653913621945e-19,0,1.08965578201101e-18,0.00138749641310924,1.82438950840592e-20,2.88762988312677e-19,3.88050786877713e-19
"Th1 cells",2.48694279101212e-19,1.90858331175253e-19,0.000362670865647554,4.03873450006385e-19,0.00434975514548594,0.00181639088337784,0.000321229034141036,0.000446118905506259
"Th2 cells",9.53529020717318e-20,1.38701547396319e-20,4.24900121201961e-05,1.78657936425772e-19,0,0.00261826525005136,0,0.00131578333722221
"Tregs",0,0,2.63430970696706e-19,5.98968793939782e-19,3.65810664759097e-19,2.98424208944293e-18,0,2.10187317932711e-19
"ImmuneScore",0.00610881581140186,0.00404121097323464,0.0079036139040793,0.0243086860481649,0.0410121353040469,0.0320741386047503,9.65431950747878e-05,0.000324812906122643
"StromaScore",0.0023845920851626,0.010567374979459,0,0.00111055120439507,0.0115965428862983,0.00474263648260027,2.63707498303649e-19,0.0012408400228546
"MicroenvironmentScore",0.00849340789656446,0.0146085859526937,0.0079036139040793,0.02541923725256,0.0526086781903451,0.0368167750873506,9.6543195074788e-05,0.00156565292897725
