gene_name,IBD7_fpkm,IBD7_1_fpkm,IBD8_fpkm,IBD8_1_fpkm,IBD10_fpkm,IBD10_1_fpkm,hCO_wo_Tc_fpkm,hCO_wo_Tc_1_fpkm
SMOC2,1.612519232,2.709411186,1.667850148,2.768985542,2.090938429,2.14820624,0.489173497,0.33077616
SORT1,18.57798501,17.42396214,19.27465358,17.46287366,21.54800453,24.2205977,8.988146466,10.90095538
PARP9,2.764194973,2.827260336,2.995840076,2.746582166,8.351946223,6.48581673,0.126097084,0.214092019
RAB11FIP1,2.001911164,1.925364987,2.050118837,1.686300933,2.48503782,1.992783254,0.8216403,0.815265295
SLA2,1.94811426,1.698172844,1.596542913,1.728746028,3.521232151,3.141663968,0.183959043,0.021032462
CD247,2.144288039,1.755780286,1.409392385,3.706335161,3.698492831,2.778653304,0.377175321,0.244365514
RASAL3,1.3285614,1.628505144,1.253768799,2.622190921,2.990816345,3.01138146,0.024077243,0.012387631
NFATC2,0.600434073,0.572276902,0.420547245,0.70915747,0.88179764,0.942842659,0.020402892,0.020994388
INPP4B,0.51531026,0.581026734,0.31964512,0.410569422,0.653443274,0.375997029,0.043798534,0.077845226
CCDC69,1.472005296,0.973750083,0.942787954,1.647608714,1.575930201,1.473963919,0.056431791,0.243884734
BST2,54.97008329,41.73241961,55.39782761,43.64320263,142.0977906,126.5791821,3.122317057,3.575575005
MYOF,1.127657167,1.856043455,1.464683191,1.209783194,1.567884134,1.436502281,0.32589243,0.479057586
CD3E,6.56012227,6.458265418,4.664606443,9.136893888,10.72562387,10.47035046,0,0
GMFG,4.970643468,4.672999944,3.32340766,6.923344141,8.161472326,7.864826445,0.075641325,0.038917113
STAT3,15.07720917,16.78379901,15.66514125,15.55188554,20.34056068,18.49576261,8.2943219,9.758735589
ZAP70,1.891549956,2.078698202,1.782236171,4.177216386,3.668918013,4.009661919,0,0.022690862
RIN3,0.416713681,0.601413963,0.570295683,0.661695182,0.559025512,0.57374371,0.084370175,0.080137969
ITGB7,2.56123059,2.732620226,1.787233177,4.181692116,3.044487121,3.512165062,0.02515188,0
LGALS3,5.071051394,6.360477748,5.687503737,6.61886222,9.485709072,6.518476653,1.575150906,2.153023951
CISH,2.388858865,2.336610297,1.31548744,3.116334606,3.358352324,2.956824054,0.573228662,0.43104205
SLFN11,0.652124127,0.893033299,0.551864194,0.829492158,1.323924177,1.069392419,0.018840785,0.048467485
PGGHG,7.577587483,8.478658136,6.717798302,9.855527169,6.246015426,6.242338507,3.267604562,2.425290832
DTX3L,3.10236829,3.692675558,3.979771373,3.115394346,9.360438254,7.698708083,0.326515807,0.217399962
GBP2,4.639293839,3.031798839,3.740530114,4.702194629,14.02749641,10.16590501,0,0
IL10RA,1.849188659,1.629875746,1.743028977,2.989694221,2.200954233,2.214991631,0.702497096,0.49383713
JADE2,1.825968224,2.126997824,1.887815952,1.712063275,2.291693306,2.006079117,0.890051104,0.868887501
TNFAIP3,2.641570589,2.305411294,2.456990829,3.606383738,5.654735076,4.315075783,0.780973091,0.493648675
BTN3A2,6.711782012,6.077396398,7.99555243,7.296655007,16.66643827,16.19080759,0.44013111,0.839906688
ARHGEF6,4.525366511,5.009764191,4.418315885,4.566427411,5.249261721,5.684032177,1.480202204,2.505478197
GSDMD,0.92827432,1.255386046,0.681128709,1.812186579,2.337023854,2.700003685,0.077105064,0.136012116
FLI1,0.574218685,0.499464482,0.37404729,0.790955295,0.925360977,1.108400444,0.041375027,0.056766029
SYTL1,0.850474825,0.666454239,0.634990825,0.759999048,1.427437206,1.125337096,0.050459157,0.083075213
