gene_name,CtrlBF_fpkm,CtrlBF_1_fpkm,CtrlDM_fpkm,CtrlDM_1_fpkm,CtrlTL_fpkm,CtrlTL_1_fpkm,hCO_wo_Tc_fpkm,hCO_wo_Tc_1_fpkm
KCNIP4,2.638071873,3.205284244,3.082999387,2.31990763,2.460260826,3.045375249,0.264815728,0.435988714
TRAF1,2.475467815,1.498675918,1.82347755,1.338493665,2.323655943,2.155292057,0.09612043,0.089915489
CYTIP,4.861732513,4.684343638,3.719337629,2.604305783,4.828690985,3.541438396,0.115072785,0.067662193
ARHGDIB,42.92598094,31.0363876,27.35408544,17.4668556,36.71906728,22.822896,0,0.110345383
IFIT2,3.536298571,3.338704726,2.550563451,4.440345756,5.733341333,7.107498534,0.21985969,0.155535598
TCAF2,2.016457236,1.712241816,1.448572327,1.27304764,1.653342131,1.610543857,0.123098614,0.135715008
PTPRC,9.127504236,6.478974637,6.8927152,4.539979542,8.548732115,5.226339421,0.012293365,0.00632488
NCKAP1L,2.345492208,1.581980628,1.612153273,0.92065695,1.674598839,1.461208321,0.138275996,0.060197385
DPP4,5.988986684,5.095136282,3.916944584,3.080670976,5.107112576,4.847295197,0.753770557,0.706164192
ERAP1,4.430876076,4.466775162,4.52607168,4.546771719,5.942475152,5.632235372,1.482408113,1.605667688
RARRES3,9.948787087,9.067876225,13.29334417,14.10939475,22.05836652,15.03437026,0.130145004,0.223196686
HLA-DRA,19.05079481,13.8430431,18.03590998,25.77389593,20.86728412,14.34116813,0.088051229,0.135905857
SP110,2.18065237,1.877147074,1.577744605,1.670771389,2.42031355,2.127203138,0.320139649,0.295634008
CD37,4.932833022,2.685679201,2.73690236,2.401291205,4.264371375,2.565215359,0.148973962,0.111485699
BCL6,9.32602982,8.324730286,6.785470896,6.402161435,7.095702188,8.839607901,1.176784367,2.206963417
IKZF1,2.370121328,1.644170801,1.823370426,1.108892741,2.225757592,1.577528913,0.242322139,0.201599905
TRIM21,12.36844065,8.507153116,8.695133615,9.164205135,11.44133589,11.06673002,2.366291206,2.194408723
SERPING1,20.66099134,21.86497358,23.99779509,27.43644589,33.88191816,29.9504754,6.396971921,8.207914096
SYTL3,3.937522676,3.163528181,3.718689243,3.246044043,4.806408917,3.381956934,0.40863554,0.520597021
SAMD9L,2.155503762,1.587403808,1.717554037,1.11865362,3.075674462,2.375494475,0.07898078,0.024381149
CRY1,27.944783,34.24836782,25.27304279,29.58481721,32.16741104,30.33176348,13.84884766,12.81842994
CD6,3.710037634,3.050040317,3.106060325,2.103735828,3.493847015,2.854615755,0.00945834,0.038930177
GBP3,5.25301892,4.82648254,4.220281921,5.599959639,6.040895001,7.602212427,0.013114449,0.040483942
LSP1,6.758623846,4.876264318,4.608418617,3.219510489,6.770512232,3.595545804,0.010437634,0.032220688
GZMA,32.18211616,23.64888387,24.92322159,20.83189972,29.45629166,21.71404004,0.063034437,0.194585567
CD4,3.776842443,2.306578899,2.417365783,1.677062841,3.201343677,2.085873211,0.061480239,0.08856764
TMC8,3.149352335,2.406724008,2.879783368,1.776178444,3.778758207,2.943659874,0.020645828,0.042488733
RASSF5,2.741121555,1.789551026,2.262418302,1.483157998,2.624476445,1.866365345,0.21810855,0.324179108
ISG15,34.98692592,35.73433596,33.80747164,49.63560379,61.56709292,58.33596477,9.461998222,6.655198609
SCN1A,2.443166527,2.079360142,1.672774782,1.716539265,1.661289953,2.073050013,0.269360069,0.537228865
SAMD9,1.509916119,1.380540867,1.092489088,1.000475301,1.682971121,1.693978486,0.032882735,0.093049087
ARHGAP9,2.132874506,1.561107046,1.738354601,1.222357915,2.33580374,1.670089316,0.065948258,0.101790226
CD7,5.580462457,3.717859007,6.064802465,3.069635827,6.992118958,4.460218797,0.02060431,0.12720987
SELPLG,10.52778255,6.76156512,7.047921978,4.053736381,8.246006909,4.491455255,0.700455651,0.302255207
DNAJC1,18.72862261,21.5563217,18.33765142,18.3916946,23.18965784,19.95565687,8.359409809,9.065462258
TRAF3IP3,2.761635755,1.740732223,1.932648439,1.342662337,2.40281894,1.876722832,0,0.037410645
HOPX,4.253988721,3.278841862,3.35288535,3.423989296,4.075933148,2.84425297,1.05393449,1.121885057
STAT3,16.38451595,16.94320382,16.1825584,17.79323328,18.07991883,19.88640427,8.2943219,9.758735589
IFI6,99.78316246,72.80145839,96.38083512,138.1357364,149.4647752,146.1104662,15.70060305,9.787316593
MYO1G,5.829634017,3.905013772,2.702086182,2.405022914,3.376752124,2.378967152,0.051658336,0
TAGLN2,26.94609561,25.58410129,25.30954656,23.79655743,33.37939798,24.92581466,11.2614938,11.00507741
SLC2A3,50.29291206,52.83114471,39.40268665,44.48377821,48.14214201,59.43793594,20.65994362,21.21181722
CIITA,0.411315698,0.341942753,0.342903922,0.358890367,0.564863251,0.370132201,0.010859524,0.041903815
DEF6,6.295783575,3.797627111,5.763678612,2.299869794,6.479392093,3.733166734,0.243568038,0.273413748
SP100,0.750777944,0.678199204,0.824058333,0.698154572,1.505630505,1.110855417,0.017864253,0.013786614
SPOCK2,11.84856643,11.25696747,11.27805181,11.39436914,13.27682307,13.45439426,3.603009665,5.649468619
IRF4,1.85406029,1.211943722,1.311729971,1.012447348,1.265052336,1.660587874,0.057327352,0.049157764
APOL2,11.24562689,11.93440517,12.13337874,14.56012096,17.61857767,19.67825229,2.976151775,4.19420142
ETS1,7.754433114,4.851463876,5.255119434,3.423819692,7.779373489,5.767135924,0.141887,0.405556714
BHLHE40,26.0762553,26.04159551,22.63106899,22.98967677,27.94284431,32.09797651,10.73596226,11.69704202
PTPN22,1.895998209,2.179874753,1.649371538,1.155411183,2.116449648,1.562893764,0.050057994,0.10301843
OSTF1,9.177250029,9.1593641,8.587079645,6.40983844,8.841672989,9.292908263,2.136193589,1.670573891
S100A10,13.37814175,7.242457002,7.982268777,6.705450548,13.32828336,9.996316123,1.42434134,1.089830506
LAP3,13.56487032,13.99099924,14.96216387,16.16703235,21.08768082,17.95840293,5.776718972,5.974830808
CARD11,2.69589237,1.989150407,2.064403805,1.507276365,2.664109659,1.719432168,0.035916371,0.036957616
PSME1,45.24517915,53.33433173,52.19696,49.79470696,67.13563072,51.07378427,22.30697066,23.60483536
GSDMD,2.297484212,1.554624216,1.814679445,1.282768493,3.296765403,1.478799632,0.077105064,0.136012116
BIRC3,1.104518608,0.850355014,1.317215577,0.692047959,1.426133195,0.912711872,0.052470006,0.03856511
ADA2,1.417589824,0.717136257,0.775080503,0.699639279,1.05172034,0.929844579,0.051794841,0.066620518
SH2D2A,3.445316265,2.064032193,3.572626078,2.871415477,4.742422753,3.151840943,0.269201211,0.277005568
S100A6,21.43965448,16.12278402,18.10248961,12.42129222,26.79755473,16.67016934,2.08928973,3.881691488
THEMIS,2.415630599,2.009327971,1.68053888,1.015338997,2.269940137,1.782973798,0.091545488,0.121113597
ENTPD1,0.84676749,0.952639525,0.940591068,0.74592352,1.042749708,0.933316462,0.064634021,0.124702148
ICAM3,5.272864786,2.900853407,3.587676626,2.324833284,5.866152728,3.180886156,0.382052792,0.235877284
SAMD4A,3.555724921,3.015336795,2.771692973,2.93428438,2.823295136,3.541986652,1.310422242,1.319824176
SLA2,2.630098013,2.647464304,2.110232388,1.951463657,3.206628486,2.59521429,0.183959043,0.021032462
CD247,3.797977709,2.333482723,2.34744126,1.861331248,4.041138675,2.544206244,0.377175321,0.244365514
FYB1,3.019673192,1.899774584,2.279888071,1.282666639,2.585924814,1.696472617,0,0.01965644
CD226,0.673187403,0.442924228,0.585434377,0.338142499,0.611458877,0.516036854,0.04545246,0.029762831
PLEKHF1,2.333855578,2.196786874,2.03153849,3.440199479,2.71286058,2.778158799,0.273251111,0.281172878
TNFAIP3,3.264816329,2.481537576,3.16141518,2.774130063,4.779138986,4.168379385,0.780973091,0.493648675
GNLY,6.669972608,4.256732659,2.332893051,2.034711936,3.473048089,3.056364003,0.221643213,0.076022942
CTSS,1.673545043,1.166782681,1.654179604,1.747957527,2.951103203,2.371981465,0.053313895,0.082289261
JAK3,4.257261248,3.243582947,3.152319893,2.646776633,3.846840614,3.141988816,0.959477951,1.114961305
TC2N,3.367650884,2.039083503,2.557465008,1.702416793,3.233421702,2.576028778,0.550051604,0.330165522
STAT5A,1.626062144,1.014815306,1.280018659,0.904208647,1.776168021,1.151751391,0.048968358,0.120931176
ARHGAP45,5.868349577,3.857282113,3.105547412,2.786492005,5.538249643,3.074344572,0.361351631,0.167322376
RAC2,23.88052397,16.62039929,15.66872019,10.25077404,20.30562918,11.92871567,0,0.045802922
MAP4K1,3.861008049,2.521373901,2.411199269,1.764863146,3.695688908,2.388631862,0.399159634,0.146689853
IL4R,1.617202809,1.195685001,2.047687488,0.96297928,2.638200808,1.711466784,0.095610429,0.167249827
STAT4,1.698712459,1.578004343,1.940208995,1.19852096,2.437234414,1.44627282,0.164877537,0.230249421
UBA7,2.856315002,2.503072499,3.486143617,2.510610049,4.552462238,3.122709883,0.657139209,0.650673586
RCSD1,3.3339606,1.8927497,2.05659439,1.313153245,3.136087575,2.010305587,0,0.040564183
TMEM173,2.885890746,1.634361641,1.945198104,1.412807329,3.436275894,1.858443064,0.131733788,0.135552855
CRYBG1,1.211934728,0.873424035,1.020208796,0.433134911,0.997249897,0.661438968,0.005432117,0.039127192
ITPR3,1.510810665,1.1169297,1.335677615,1.359767153,1.480147746,1.634051352,0.456760177,0.352501514
NMI,2.033261046,1.779199896,1.885236407,1.529040916,2.918784762,2.005477883,0.032386659,0.099976722
1-Sep,4.506784313,3.616911685,3.199573487,3.19659111,4.624056029,2.378168754,0.74834149,0.715033898
DENND2D,1.738942994,1.241344341,1.537496894,0.814749152,1.85314067,0.978345991,0.061308562,0.063085946
TCIRG1,3.094599517,2.468691329,2.244738605,2.009423904,3.346660144,1.953135931,0.527021958,0.343898032
C19orf66,3.77185735,3.65274744,3.293528234,4.331049781,4.188654236,3.917945328,1.440948939,1.442649595
XAF1,1.432096159,1.483896601,1.047918171,0.768642589,2.341172448,2.021413482,0.00851894,0.043829553
GPSM3,9.052305057,4.28989077,5.608397005,3.954283447,9.097223194,5.219445579,0.699090668,0.562975718
ATP2A3,5.056208743,3.885100261,3.133692262,2.641789924,4.538983112,2.824749657,0.940166907,0.614103355
TNFRSF14,2.181496106,1.30317937,1.114645232,0.998216131,2.39951075,1.122216278,0.108736685,0.111889048
LCK,11.36619995,7.929908975,7.599878241,5.772408033,10.04624263,6.937944732,0,0.034732854
IFITM1,47.10668154,51.45696828,77.59506578,63.66662094,132.6565654,76.567685,5.426564662,6.872473955
HLA-DPB1,2.681866449,1.875738878,4.146875213,2.775027559,2.493615232,2.143337165,0.060572684,0.083104979
GBP2,8.348569921,6.111825042,7.741514269,7.272608459,11.45900167,10.07362977,0,0
ANXA1,4.487402093,3.222713188,4.315252815,3.694372043,6.254860442,5.361991758,0.901941119,1.245927845
CCL5,44.28337468,28.09891384,41.09804075,23.85249894,40.9290497,28.5480325,0,0
SELL,12.78988876,8.552899354,6.995574833,4.209117647,13.25324653,7.511195739,0,0.063838348
CACNG5,6.155501036,4.454040633,6.137335395,7.711684618,6.408677338,5.815550348,0.773722474,1.326922174
FLI1,1.638679944,0.769981928,0.984587213,0.542611191,1.411743396,0.789431563,0.041375027,0.056766029
LTB,14.85741455,8.952681706,9.556066493,4.198304742,14.17383572,10.01020729,0.036711913,0.075552442
GBP5,4.933547527,2.713807026,5.214094256,3.65207251,9.709501911,8.037665329,0.013840793,0
SP140,1.466645714,0.946887414,1.086614361,0.741419577,1.729805161,1.260786568,0.060572684,0.093493101
PIK3IP1,11.84913728,9.763388656,10.57299173,9.851229531,10.28244105,8.50813899,4.768882359,4.510907675
WSCD1,7.612860762,8.069935437,7.814643066,8.484005798,8.751264229,9.023970317,13.44064508,15.53674132
MYD88,3.225118367,2.410283946,2.932492869,2.890190149,3.756645068,3.234512277,0.918257996,0.421561412
TRIM25,5.391651366,4.635937924,4.605632621,4.635993261,4.804280556,5.611057568,2.550436623,2.48400222
MBP,0.876452081,0.516498666,0.448858987,0.28267201,0.670280115,0.53244386,0.063572846,0.046725624
CORO1A,26.72354351,19.89351297,19.22471876,15.65768033,24.35394395,16.0856453,7.612427379,5.952217101
OAS3,1.45998249,1.317789495,1.29021194,1.676737632,3.53356159,2.814743067,0.095617382,0.056222518
WAS,5.378630788,4.249477549,3.40526643,2.234801506,4.476677673,3.719355676,0.49702164,0.58449222
SYTL1,1.497537278,0.92851878,1.075141242,0.730566111,1.616900824,1.060781955,0.050459157,0.083075213
IFITM3,23.25208552,25.20651225,45.73078359,39.07901901,79.58411975,47.64028889,2.508284282,1.849717698
PTPN6,2.416608662,1.527535927,1.210916622,0.944266966,2.165515872,1.533805968,0.011250307,0.150494008
ITGAL,9.288415192,6.222291537,7.277552464,4.677214568,6.607119561,5.020204579,0,0
GFI1,2.249806725,1.78418225,1.987465222,1.361206171,1.994389938,2.362959489,0,0.105398059
GRAP2,1.577657899,1.000261008,0.969885088,0.936033233,1.509252553,1.080100984,0.018207686,0.028103311
DOCK8,1.938777405,1.267223119,1.634426202,0.982236479,1.910470455,1.446617825,0.004088275,0.004206798
HAPLN3,4.115312271,2.885455273,4.250290976,3.456106859,5.355461427,5.541897552,1.039424276,0.872101148
NLRC3,2.440196754,1.29497371,1.934724408,1.105349151,2.363199947,1.938545776,0.025285426,0
TUBA4A,4.429878228,3.467779634,3.580943712,3.159792978,4.549925708,2.803696926,1.119042838,0.625497905
PNRC1,41.31715485,42.44773667,39.26212629,41.7733433,45.83038374,39.94778923,27.21583457,25.83422565
LPAR6,2.99917869,1.597674958,1.651230305,1.862888549,1.860229275,1.605120293,0.10368498,0.346745394
GMFG,11.8524379,7.702779319,6.936963342,4.126700135,9.552254582,7.281747567,0.075641325,0.038917113
ARHGAP25,1.308552036,1.034096463,1.237399247,0.639811447,1.357039409,0.935865774,0.020672336,0.095722394
C5orf56,0.547022065,0.584727822,0.477174139,0.486208186,0.670310584,0.771678796,0.046342752,0.095372531
IFITM2,12.31698603,7.307704362,8.824618748,6.475549386,20.6019502,12.35286213,0.693909884,0.48854471
SLFN11,1.075309024,0.858326735,0.879451135,0.632542057,1.058622852,0.911772941,0.018840785,0.048467485
TMC6,1.639171086,1.358769318,1.306535708,0.818404643,2.256586007,1.481580561,0.208015824,0.280935859
EPSTI1,1.080712966,0.664498782,1.583768488,1.332787086,2.597636768,2.358290521,0.05722257,0.070657797
RASAL3,2.336092201,1.88190755,1.467653499,1.730365181,2.986981424,2.117377154,0.024077243,0.012387631
PGGHG,8.126782689,6.909559015,7.3541667,6.170813794,10.34666245,8.507245253,3.267604562,2.425290832
TRIM5,3.78568439,4.767681938,4.380413564,3.901324767,4.150404459,4.333866345,1.970705286,1.83471021
APOBEC3G,2.118819237,1.462839339,1.844144206,1.337524112,2.168027647,1.466998719,0.031094052,0
NFATC2,1.058603545,0.668261796,0.619972406,0.506604754,0.620490624,0.842271667,0.020402892,0.020994388
CD3E,13.42674074,8.903018383,9.90195621,6.319749044,13.20576395,8.413578098,0,0
ITGB7,4.959017795,3.426287269,3.218252934,2.467303098,4.407597313,3.114957836,0.02515188,0
HELB,2.856891355,2.565080602,2.373240129,2.241322467,2.617794781,2.852459546,1.323449039,1.239925863
CCDC69,1.873895769,1.461858419,1.648653055,1.018339821,1.820843985,0.998406774,0.056431791,0.243884734
MRC2,35.49552624,33.66651563,28.79001461,30.91456232,41.82425366,35.12015942,15.15610667,18.82448007
ABCB1,1.067617903,0.754294773,0.735548402,0.804462679,0.982721959,0.959614349,0.038823828,0.149810108
RUNX3,3.749371071,3.049459376,3.188368649,2.222174578,4.26963184,3.306463646,0.024918323,0
KIAA0040,1.283736626,1.010345076,1.449295149,0.704580008,1.520631239,1.005457298,0.011781891,0.072740747
ARHGEF6,5.498716538,5.335832589,4.655898477,4.364840661,5.652144246,5.122776615,1.480202204,2.505478197
PSTPIP1,1.779970309,1.611097227,1.122047006,0.714556274,1.473473856,1.260109332,0,0.103825423
CASP8,0.976908524,0.632443574,0.649432927,0.595881931,1.125359203,0.599188396,0.054462171,0.080058676
DHX58,1.141242386,1.126488971,1.030739184,1.153843002,1.468379879,1.236131842,0.190628735,0.06035545
FERMT3,3.642908229,3.250812469,3.048203754,1.98619057,4.069557842,2.31453301,0.661676558,0.245865782
INPP4B,0.623900674,0.416136904,0.498534871,0.267354383,0.549337793,0.497259282,0.043798534,0.077845226
IL10RA,3.348981556,1.96333189,2.337590235,1.824330888,3.412814241,2.063016876,0.702497096,0.49383713
GYPC,2.347067355,1.809116574,2.532858354,1.907691132,3.700802646,2.03081891,0.487838921,0.380289212
NUCB1,30.71652867,28.37205314,30.96991463,34.55469351,34.511179,32.31054597,18.59341381,20.45802568
RIN3,0.565713443,0.515963622,0.534602098,0.47663297,0.685993663,0.533589715,0.084370175,0.080137969
PDGFRL,3.058586443,2.758265125,1.824150832,1.914316065,2.030131185,2.556246075,0.37428169,0.312920086
IL32,21.64879548,15.98465783,16.52914166,9.930586289,26.51407194,17.3804477,0,0.018069959
FOS,6.880739963,7.726421943,8.544169897,7.267115605,6.35130983,6.737771132,3.463312103,3.223461958
ALDH1L1,1.053375378,1.160072562,0.988513278,1.276282304,1.307770475,0.842588604,0.382206037,0.393286494
DDX60L,0.933250116,0.890321058,0.850285898,0.739279627,1.088323642,1.225443195,0.208611008,0.319603112
HLA-DPA1,3.072396046,2.049264304,2.422729656,2.11887971,2.083449161,1.550875688,0,0.020176235
SAMHD1,4.491859494,3.518006609,3.803367865,3.916676573,4.487705851,4.598687564,2.201867172,1.987637742
ZAP70,6.235591198,3.397911719,3.390715466,1.793005652,4.207794667,3.201462961,0,0.022690862
CD53,12.79869395,9.239611394,7.046330577,5.796902951,12.06214025,9.374893331,0,0
CPT1A,2.155597393,2.154618907,2.140081553,1.99027636,2.4258575,2.376277006,1.021474735,0.847936619
IFI35,2.460016506,1.990061027,2.666435221,2.337347897,5.179964924,3.00223337,0.171371881,0.293900147
FMNL1,6.128688532,4.524869132,4.664824819,3.543004698,5.727069167,3.909323152,1.85214413,1.102172103
JUNB,18.79626209,17.14822521,20.81225943,16.24255918,26.80245088,18.49654715,8.452918032,5.639346331
IL7R,5.895974549,3.247902701,3.33975282,2.07808267,6.414833153,4.190496011,0,0
ELF1,4.653899572,3.97132913,4.583055615,4.187020768,4.917633006,4.018070078,1.793929548,2.180345868
IKZF3,0.64273567,0.492921381,0.674090797,0.626201942,0.826976054,0.375044531,0,0.023176059
WARS,24.88824554,23.26901179,30.14809524,26.75316571,43.18378663,37.33964113,7.959232874,7.615402117
CD96,3.927577154,2.75192236,3.458771044,1.857210637,4.363524497,2.809221525,0,0
LRAT,0.170126913,0.272926723,0.139139823,0.281463231,0.257034441,0.341244895,1.408447067,1.081208193
TGFB1,9.409095855,7.462137892,8.9838028,7.833147223,9.856148486,8.585224507,4.281280288,4.154684301
SP140L,1.355844432,1.113680056,0.832538529,0.701103599,1.398261491,0.92382927,0.029921834,0.010263097
LGALS3,4.488867673,5.460145189,7.281490229,6.536325649,8.788961117,7.682662825,1.575150906,2.153023951
ART3,1.569859325,1.7813445,1.510498278,1.226466823,1.032882954,1.216606473,0,0.123827179
CASP7,5.91734177,6.078268768,4.894573151,4.943667813,6.237992378,4.920545975,2.364005799,2.44897629
SRGN,16.05728037,12.95593303,15.47316674,9.789204026,21.58518422,11.39301514,0,0
RUNX1,0.454330836,0.300594933,0.480866361,0.254349257,0.491163358,0.391636651,0.043420665,0.070742486
CD48,8.055358641,5.688816511,5.482246003,3.756129018,5.975059284,3.743844227,0,0
ARID5A,5.987152831,7.469559911,6.21530849,6.185931962,8.336525966,6.218453985,2.971759869,2.944055068
