gene_name,IBD7_fpkm,IBD7_1_fpkm,IBD8_fpkm,IBD8_1_fpkm,IBD10_fpkm,IBD10_1_fpkm,CtrlBF_fpkm,CtrlBF_1_fpkm,CtrlDM_fpkm,CtrlDM_1_fpkm,CtrlTL_fpkm,CtrlTL_1_fpkm
NDNF,1.303706066,4.422456747,1.942681289,1.72588241,2.600726281,3.629762095,0.855123035,0.934288623,1.844944515,1.080705709,1.375305406,1.335898388
PLXNB1,8.498165584,9.509588081,9.672948231,7.888704705,8.850925202,9.079485638,7.918733019,7.251037771,7.122139832,7.489834038,7.388954534,7.990003325
CLDN19,0.141262337,0.599905505,0.203667815,0.12688183,0.113481248,0.062866799,0,0,0,0,0,0.081409756
ABL1,20.89934312,21.61471728,20.86514454,20.7541555,20.14162862,21.35110662,17.87115749,18.30339205,18.83604109,18.70906788,19.2315416,19.49312773
RAX,0.060710149,0.918486196,0.114883228,0.122692175,0.219468163,0.486327432,0,0.081081888,0.016615481,0.095231542,0.033664333,0.015744319
NAPB,16.61308179,13.22268476,15.92014443,15.48043515,15.69748764,15.56439134,18.04370933,18.21566931,17.69037634,20.71674185,16.90283668,19.58654656
HOXA5,3.378269069,0.070326747,0.358138776,0,0.927910302,0.265314834,0,0,0,0.034635568,0,0
PSAT1,57.31150462,58.5699181,57.4740551,48.46004448,63.72855066,54.30879756,43.5105023,45.06983784,40.2811507,51.17861141,49.57526966,48.2207549
KANK4,2.40137574,1.917150637,1.421014411,1.23373635,1.520885929,1.429489039,0.840977315,1.035387231,0.693446268,1.057884941,1.384009423,0.941499749
SAAL1,8.60015129,9.365289201,8.46321591,9.910433288,9.220388342,8.316550572,10.60971783,11.37941594,10.66489277,10.51502013,11.98853252,10.29675903
TRPM2,0.168639303,0.080568965,0.164118897,0.35054907,0.167649291,0.278625091,0.453514916,0.608114157,0.470771963,0.449704502,0.486262593,0.271152162
HSD17B7,5.797990785,5.100396548,5.463445254,5.643506213,6.074073097,5.817553864,7.171970337,6.995533023,6.450930963,6.731449556,6.561303979,6.763252672
RAB36,3.441461314,3.741444587,3.766003197,3.258924201,2.898738521,2.660343235,1.850996781,1.568859833,2.24543642,2.476050998,2.580051064,2.670343085
SERPIND1,0.066435166,0.493733431,0.167622414,0.383606136,0.780533623,0.266094255,0,0,0.096972451,0,0.122796359,0.045944057
SLC19A1,2.013095842,1.89713399,1.742675773,1.482374126,1.620033344,1.710010893,1.415432775,1.173117911,1.337149036,1.377839497,1.467469301,1.202516068
MSRB3,0.687139687,0.924067814,0.6109301,0.54665299,0.510604315,0.634538673,0.355364847,0.373883676,0.417911323,0.479051306,0.3979597,0.316799938
YPEL2,1.96347459,1.544401168,1.721099172,1.717556972,1.8393468,1.998746408,2.577398553,2.17220937,2.185203194,2.230667282,2.17029494,2.463103983
FYB2,0.122029628,0.310937424,0.039586201,0.140923299,0.176455625,0.171068797,0,0.065191028,0,0.038283779,0,0.012658664
TMCC2,10.45396308,9.596092178,9.445641226,10.39125363,9.137148031,9.627608475,12.42328052,11.37833689,10.90205239,11.41858881,10.77513015,11.94556569
C1QTNF12,1.102994106,1.204492547,1.158620863,1.856063536,2.050632714,1.356910125,2.738065678,2.581453258,2.000989232,2.801252959,2.096983974,2.844113824
LRIG3,4.758530109,6.091002783,4.58533103,4.863771688,6.069311429,5.802371935,3.50288015,4.313738496,3.87551232,3.912767183,4.851708518,4.130111867
PSKH1,4.904458796,7.289799688,5.733741467,4.465379911,5.061957034,5.281087765,3.587742369,4.100986091,3.626097913,3.508425455,4.020229899,4.733687682
ZNF423,6.99399037,6.83166074,7.71228388,6.030431721,7.132959245,7.236110434,5.310205768,5.992259705,6.08814163,5.933977171,5.756369012,6.120938714
SLC16A7,1.659060879,1.374860885,1.216869859,1.419031103,1.144167518,1.516269907,1.857236061,2.243399061,1.847947904,1.67871871,1.729808449,1.708140522
Z99129.4,8.590735439,8.948118246,8.636630568,9.116435271,7.638010337,9.020649871,10.42264097,10.54314277,11.74308506,10.27063376,9.73327814,11.27189791
GLI3,14.50324576,15.88029007,14.44332473,13.55284332,12.73407021,14.15030317,12.0212157,13.36839164,9.710648568,11.25225166,12.31664973,9.87100508
SEMA5A,1.210457845,1.300012912,1.132022877,0.825769525,1.254459349,1.109112836,0.647760008,0.436928622,0.537218321,0.889507366,1.06253313,0.596317549
ABCC4,3.862933714,4.657324685,3.922223061,3.818335959,4.153867066,4.176208344,2.620810603,3.730924917,2.659198545,3.197498725,3.594257245,3.232918602
IRS4,0.489367388,3.010362547,0.700367364,0.598378696,0.923559103,0.432369292,0.312633008,0.230674667,0.346649357,0.316084833,0.367132352,0.447919464
MTMR10,2.988083037,2.968176371,2.995351352,3.139714199,2.90911373,3.17183929,2.613138299,2.243729958,2.442854497,2.762690387,2.446267252,2.481065046
FAM114A1,4.108778397,3.967909856,2.485031663,2.922021891,3.912627706,3.289071937,2.064891951,2.025521321,2.376088836,2.257619024,3.063551089,2.492311809
PARM1,2.257409937,5.174883454,3.108934842,1.322915369,2.040143284,1.968021795,0.650521762,0.729975906,0.786875384,1.150982461,1.096063614,1.724243762
ANXA3,0.231751485,0.25776407,0.023866597,0.114699957,0.129657254,0.209958911,0.022829303,0,0.036243998,0,0.061194438,0.034343698
NXN,10.23038289,11.71894773,10.89604335,8.372190873,10.35802019,10.3402734,8.184827356,7.696286793,7.778687223,8.727668464,9.586248116,7.889497026
EFEMP1,0.827639307,1.348340534,1.080111114,0.593243694,1.779682127,0.457236165,0.059038122,0.266810982,0.171837288,0.671512164,0.31650591,0.518088238
BOLA2B,0.78695253,0.087947075,0.08957405,0.143493988,0.149728738,0.124420995,2.227705137,0.147511615,0.272055679,8.532757754,0.643075085,6.659616278
SARDH,0.552112563,0.504106793,0.597014541,0.599339634,0.359261239,0.729758296,0.217005456,0.373604856,0.362652345,0.28868611,0.281659351,0.24054675
ARMC3,0.088855492,0.300162273,0.497878908,0.083955976,0.160607015,0.194124484,0.133681406,0.021576656,0.017686146,0.042236688,0.017916794,0.067035392
BMP1,2.79995192,3.205665581,2.569424008,2.106121431,3.228056191,2.796099978,2.05073512,2.048300751,2.162225415,2.342441836,2.056144573,2.025308237
FGFR2,8.22156661,10.52675305,8.543311177,6.272228617,7.356105909,8.314681726,6.667241027,5.892069976,5.68452048,6.28054195,6.768072504,6.469963578
PLS3,13.13066182,25.99228702,14.4371778,16.78834146,18.02470636,17.1119087,9.800897173,11.11397813,12.51744838,11.69765416,15.78585389,12.17592042
ADAM33,0.329488361,0.195484006,0.073352764,0.235016293,0.236469516,0.155259658,0.04009411,0.008628443,0.127307508,0.060805192,0.064483875,0.020105447
HIST1H2BG,5.122913546,5.517188319,6.535869233,6.597075278,7.627600639,6.015438778,8.691535362,9.221038545,7.343197773,9.211458136,8.583417453,7.722824563
FZD6,1.293451012,2.480691661,1.940054929,1.445529838,2.073964021,1.852235303,0.863132987,0.916368278,1.050576635,1.294450054,1.449885156,1.284043143
FAM89A,2.479663442,5.666414604,3.524031699,2.209052178,3.927095843,3.074144464,1.783141173,1.682149993,1.835580348,2.025095682,2.199993713,2.572262654
POFUT1,6.466573289,6.192939855,5.99355775,5.903105057,6.782442704,6.008260025,4.868554936,5.029133728,5.345538462,5.713559051,5.405493423,5.284306528
CCDC85C,4.315799579,4.468509272,3.88899426,4.284301691,4.342586042,4.113900441,3.730024082,3.620529249,3.249107853,3.862692622,3.711898384,3.734166476
SERPINF1,3.279070092,9.955084459,4.740945192,3.850585647,2.480659771,2.877615581,0.838383654,0.60688124,1.290691002,0.963227687,2.492465996,2.312270515
CFAP74,0.113918908,0.057593436,0.070390661,0.01252922,0.053928637,0.059751207,0.005610944,0,0.029693277,0.011345791,0,0
KDM7A,6.22319267,5.149450454,5.439201327,6.432045716,6.317782658,5.336974584,7.751492556,7.996482622,6.418984971,6.43267351,6.848442783,7.749193561
CELF4,18.7560042,15.57570028,17.68888645,16.50235777,15.05000746,13.81488288,20.59953688,17.90972118,21.59421126,22.95402839,19.23613609,18.42389033
TGFBR3,1.915935245,1.696252054,1.236029279,2.400083239,1.872404738,1.944497903,0.490389428,0.416353863,0.995401881,0.60447323,1.548588337,0.916263301
NACC1,14.51949913,13.22832908,13.37739584,12.71063584,14.41256234,14.60208578,12.6129986,11.45382848,11.77261054,11.84044081,11.94015363,12.25648084
LMX1A,0.513352546,3.41354435,1.577659072,0.452426085,1.281951694,0.7439989,0.237542035,0.216508983,0.310572522,0.211910091,0.179784432,0.728715556
AC116366.1,0.106100345,0.209198504,0.163898898,0.140031666,0.328760955,0.364256639,0.658457081,0.364379394,0.597355499,0.491370074,0.369811276,0.676098205
SCN3A,6.883182837,5.569288735,7.834383993,6.290111445,6.485525387,6.4781106,8.438791563,8.292525077,10.13303724,8.021249193,6.64592613,9.327589026
THBS1,0.592649852,1.40916509,0.614146603,0.805606396,0.675091368,0.56253017,0.229873483,0.186886166,0.317640898,0.342161445,0.492944649,0.646801315
FGFR1,9.071462295,12.05074112,10.19346475,10.08449041,11.53899413,10.55178485,8.715401464,8.055152424,7.829364241,8.85861339,9.892819584,8.999239849
OLFML2A,0.821310405,1.628278948,0.779357969,0.745228559,1.643581411,1.023808098,0.268721473,0.164162978,0.623881019,0.622254224,0.76213835,0.565089424
FOXM1,8.135968598,9.409744593,8.348405669,7.316611684,8.187287498,9.059697345,7.18581556,6.781650017,6.468472234,6.504848214,7.90946913,5.698357242
OTOF,0.243783779,0.37300825,0.573739682,0.521655695,0.544321404,0.54565352,1.142105012,0.881000725,0.525911057,0.569859426,0.88264808,1.204934602
DSG2,7.589933327,6.235113721,6.903532802,5.157785909,7.008012454,5.725174794,4.477903258,4.968776227,4.169505996,4.603755287,6.047139423,5.201538949
HMGCR,68.2529457,56.11242713,71.78729549,69.61790321,69.53514611,71.51364441,73.47528916,98.10913832,84.13020923,87.10998171,75.90562379,76.64291454
ESPL1,3.510467065,4.577749121,3.699690383,3.723499498,4.20714174,3.922690264,3.4073364,3.11429541,2.937987115,2.786558105,3.688639628,2.750961126
PMCH,0.147614429,28.36637604,9.656982996,0.511408076,1.867699857,0.812959634,0.458046422,0.722874313,0.323199305,0.849023589,0.163707104,0.382817157
KIF24,1.41087228,1.517485105,1.725041919,1.267245467,1.591768386,1.689759279,1.287625196,1.018097207,0.827792968,1.070403459,1.186295745,1.1861525
MTND2P28,46.51791613,48.52505128,48.72004644,49.09239945,48.50103199,56.12352204,39.0968653,40.16459387,46.5973527,45.07839144,36.21455168,38.59280968
GRIA2,41.15181889,35.37253286,44.81312274,50.40769975,40.34562336,39.64264973,54.21295234,59.95447568,60.99276238,54.77184971,41.38146099,49.73992436
WNT8B,0.428305504,4.34832075,2.460423565,0.927411426,2.975699152,0.696922523,0.470697641,0.238344406,0.35166288,0.335925656,0.949997285,0.249918701
IGF2BP1,16.14968948,16.75054335,16.1543785,14.11302514,14.28683624,15.29487662,13.70610932,13.53923915,12.25079356,12.82543428,13.34668488,14.23535165
LINCR-0001,3.647504934,3.353025476,3.559352785,3.90402997,4.301461606,2.939702971,5.935142817,4.316977891,6.184397091,4.930786021,5.031771616,5.260287246
ITPRIP,4.528187709,4.642594264,4.342138678,4.511711976,4.906629663,4.868640194,3.735667788,3.99027632,2.882485794,3.963728907,3.678090877,4.157460595
OSTF1,5.529329882,6.962587888,5.283782374,4.702447017,6.236758164,7.553929697,9.177250029,9.1593641,8.587079645,6.40983844,8.841672989,9.292908263
YAP1,15.79533009,17.08430598,16.64297513,14.34176368,18.12182063,17.68661437,11.14560226,14.35953876,12.49453299,13.94496972,15.97371547,13.21806355
SIX2,0.153840344,0.381103991,0.415879517,0.829076373,0.764686054,0.770225206,0.132601496,0.068487535,0.25262313,0.053626227,0.312788222,0.053195092
UHRF1,9.340306608,10.79146505,8.994879846,7.271338189,9.057060795,9.495776473,7.512821916,6.555235533,5.040432935,7.538315355,8.286856785,6.542996269
MED10,24.14822881,24.93545169,25.65689046,30.94318088,31.36359111,28.75746426,31.32265993,37.37889393,34.00804519,35.94547463,32.08363172,32.037805
PTPN13,8.043447458,8.849350256,7.609596636,7.721188436,8.103303209,7.773953737,6.533737647,7.27827915,6.094107371,5.827616767,6.794241325,7.590341857
AC134682.1,0.184157415,0.14219456,0.054309407,0.077334634,0.105911911,0,0,0,0.018327707,0,0,0
HEG1,2.882355788,3.132732404,4.176226496,2.519494182,3.01678892,2.332909324,1.614384806,1.8715211,2.276153495,2.317260866,2.413232398,2.351812617
DCAF11,13.58652507,12.94058107,13.51693572,13.39725401,13.22835714,13.863144,14.68838259,15.05393778,15.5950027,15.1764334,14.11980217,15.33149558
ZFP1,13.60419448,11.29936348,12.32113563,12.06497906,11.80576861,12.19233121,13.96239812,14.48180864,13.6423879,14.69819886,13.67026139,14.28375195
SELENBP1,1.06489656,1.83292095,1.238737021,1.117975417,1.8956453,1.809501684,0.450595324,0.804493995,1.059805941,0.793029973,1.19888356,0.652755694
ADAMTS1,3.401945172,6.628716594,3.739206126,1.876514536,3.725596754,2.933573308,0.894173023,1.54656937,1.454648551,1.59045079,2.627657789,2.001142408
PRND,0,0.407197166,0.522252721,0.131235707,0.154055071,0.014224008,0,0.025295648,0.015550921,0,0,0.044206725
LRP4,11.4756182,12.4069364,10.93690084,9.386780128,11.81536866,9.390261034,8.080840374,7.102524676,8.084851109,10.10254306,9.794795785,8.445471045
DNMT1,12.6508399,13.87853052,12.4190726,12.49009988,12.89891449,12.85838145,12.15987937,10.71411146,10.71559444,10.9180639,11.71301267,11.70437276
KIF7,4.702881786,4.968983351,5.122029016,4.360484163,4.30133299,4.109176889,3.402695984,3.613569993,3.527176581,3.865865494,4.275272726,3.436061474
AC093297.2,8.625327519,9.348176563,10.73554063,10.14235116,10.04846692,9.558963006,13.01043525,13.03956962,12.36869745,10.89909922,10.63679916,11.76679865
PEAR1,0.889450344,0.488440242,0.375870855,0.413226357,0.434260722,0.624467398,0.084596398,0.045513868,0.22384328,0.128295657,0.476201171,0.212107011
CPA5,0,0,0,0,0.017232692,0,0.19722516,0.067910069,0.10437212,0.099701375,0.063439954,0.019779962
EIF1B,62.09533765,56.00554362,61.64587306,61.49940671,61.9713111,66.44159215,66.09276073,71.42673245,72.47786679,75.01683722,71.88180295,64.7822735
AL353746.1,0.476545115,0.366371589,0.488647856,0.332094427,0.60146628,0.255044054,0.926321948,0.7096089,0.944445579,0.747521238,0.50116119,0.605141518
