,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
DSTN,0.3684738955823293,0.3393416927899687,0.3700228652527005,
DTX4,0.3684738955823293,,,
DVL1,,0.3393416927899687,,
DYNLT3,0.3684738955823293,,0.3700228652527005,
DYSF,,,,0.22902097902097904
EBF4,0.3684738955823293,,,
ECE1,,0.3393416927899687,0.3700228652527005,
ECM2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
EDA,0.3684738955823293,0.3393416927899687,,
EDIL3,0.3684738955823293,0.3393416927899687,0.3700228652527005,
EDN1,0.3684738955823293,,0.3700228652527005,
EDN3,,,,0.22902097902097904
EDNRA,0.3684738955823293,0.3393416927899687,,
EDNRB,0.3684738955823293,0.3393416927899687,,
EEPD1,,0.3393416927899687,,
EFHD1,0.3684738955823293,0.3393416927899687,,0.22902097902097904
EFNA1,,0.3393416927899687,,0.22902097902097904
EFNA5,,,0.3700228652527005,
EFNB3,,0.3393416927899687,0.3700228652527005,0.22902097902097904
EFS,0.3684738955823293,0.3393416927899687,0.3700228652527005,
EGFL6,,0.3393416927899687,,
EGFL7,,,0.3700228652527005,
EGFR,,0.3393416927899687,,
ELF1,,0.3393416927899687,0.3700228652527005,
ELK3,0.3684738955823293,0.3393416927899687,,
ELMO1,,,0.3700228652527005,
ELMOD2,,,0.3700228652527005,
EMB,0.3684738955823293,0.3393416927899687,0.3700228652527005,
EMC10,,,0.3700228652527005,
EMILIN2,0.3684738955823293,0.3393416927899687,,
EMILIN3,,,,0.22902097902097904
EMP3,,0.3393416927899687,0.3700228652527005,
EMX2,,,0.3700228652527005,
ENG,0.3684738955823293,0.3393416927899687,,
ENPP2,0.3684738955823293,0.3393416927899687,,
ENPP3,0.3684738955823293,,,
ENTPD1,,0.3393416927899687,,
ENTPD3,,0.3393416927899687,,
EOMES,0.3684738955823293,0.3393416927899687,,
EPB41L1,,,,0.3705050505050505
EPDR1,0.3684738955823293,,,
EPHA10,0.3684738955823293,,0.3700228652527005,
EPHA4,0.3684738955823293,,0.3700228652527005,
EPHA5,0.3684738955823293,,0.3700228652527005,
EPHA7,0.3684738955823293,,,0.22902097902097904
EPHA8,0.3684738955823293,,0.3700228652527005,
EPHB1,,0.3393416927899687,,
EPHB3,0.3684738955823293,,0.3700228652527005,
EPHB4,0.3684738955823293,,0.3700228652527005,
EPHB6,0.3684738955823293,,0.3700228652527005,
EPOR,0.3684738955823293,,,
EPS8,0.3684738955823293,,,
ERBB2,,,0.3700228652527005,
ERBB3,,0.3393416927899687,,
ERBB4,0.3684738955823293,,0.3700228652527005,
ERBIN,,0.3393416927899687,0.3700228652527005,
ERC2,,0.3393416927899687,,0.3705050505050505
ERMN,,0.3393416927899687,0.3700228652527005,
ERRFI1,,,0.3700228652527005,
ESAM,,,0.3700228652527005,
ETV7,,,,0.3705050505050505
EVI2A,,0.3393416927899687,0.3700228652527005,0.22902097902097904
EVI2B,,0.3393416927899687,0.3700228652527005,0.22902097902097904
EVL,,,0.3700228652527005,
EXT1,0.3684738955823293,,0.3700228652527005,
EXTL3,,0.3393416927899687,0.3700228652527005,
EZR,0.3684738955823293,0.3393416927899687,,
F11R,0.3684738955823293,,,
F13A1,0.3684738955823293,,0.3700228652527005,
F3,,0.3393416927899687,,0.22902097902097904
F5,0.3684738955823293,0.3393416927899687,0.3700228652527005,
FABP6,0.3684738955823293,,0.3700228652527005,
FABP7,0.3684738955823293,0.3393416927899687,,0.49522952295229516
FADS2,,0.3393416927899687,,
FAIM2,0.3684738955823293,,,
FAM102A,,0.3393416927899687,0.3700228652527005,
FAM107A,0.3684738955823293,0.3393416927899687,,
FAM114A1,,0.3393416927899687,0.3700228652527005,
FAM129A,,,,0.49522952295229516
FAM153A,,,0.3700228652527005,
FAM171A1,0.3684738955823293,0.3393416927899687,,0.3705050505050505
FAM172A,,,0.3700228652527005,
FAM189A1,,,0.3700228652527005,
FAM19A4,0.3684738955823293,0.3393416927899687,,
FAM20B,,0.3393416927899687,,
FAM217B,,,,0.22902097902097904
FAM241A,,0.3393416927899687,,
FAM43A,0.3684738955823293,0.3393416927899687,,0.3705050505050505
FAM57A,,0.3393416927899687,,
FAM71E1,,0.3393416927899687,,
FAM78A,,0.3393416927899687,0.3700228652527005,
FAM84B,,,,0.49522952295229516
FAM89B,0.3684738955823293,,,
FAM8A1,,,0.3700228652527005,
FARP2,0.3684738955823293,0.3393416927899687,,
FAS,,0.3393416927899687,0.3700228652527005,
FASLG,,0.3393416927899687,0.3700228652527005,
FAT1,0.3684738955823293,,0.3700228652527005,
FAT3,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
FBLN1,,,0.3700228652527005,
FBLN5,,0.3393416927899687,0.3700228652527005,0.22902097902097904
FBN1,,0.3393416927899687,0.3700228652527005,
FCGRT,,,0.3700228652527005,
FER,,,0.3700228652527005,
FERMT2,,,0.3700228652527005,
FEZF2,0.3684738955823293,0.3393416927899687,,
FGD2,,,0.3700228652527005,
FGD3,,0.3393416927899687,0.3700228652527005,
FGF1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
FGF11,0.3684738955823293,,0.3700228652527005,0.3705050505050505
FGF12,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
FGF13,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.49522952295229516
FGF14,0.3684738955823293,,0.3700228652527005,
FGF9,0.3684738955823293,,0.3700228652527005,
FGFBP3,0.3684738955823293,,0.3700228652527005,0.22902097902097904
FGFR1,0.3684738955823293,,0.3700228652527005,
FGFR2,0.3684738955823293,,,
FGFR3,0.3684738955823293,,0.3700228652527005,0.22902097902097904
FGFRL1,,0.3393416927899687,,
FHDC1,,,0.3700228652527005,0.22902097902097904
FHL1,,0.3393416927899687,,
FHL2,,,0.3700228652527005,
FHOD1,0.3684738955823293,0.3393416927899687,,
FILIP1L,0.3684738955823293,0.3393416927899687,0.3700228652527005,
FITM1,,,0.3700228652527005,
FITM2,0.3684738955823293,,,
FKBP9,,0.3393416927899687,,
FLNA,,,0.3700228652527005,
FLNC,,0.3393416927899687,,
FLRT1,,0.3393416927899687,,
FLRT3,0.3684738955823293,,0.3700228652527005,
FLT1,0.3684738955823293,,0.3700228652527005,
FLT3,,,0.3700228652527005,
FLVCR1,,0.3393416927899687,0.3700228652527005,
FMNL1,,,,0.49522952295229516
FMNL2,0.3684738955823293,,,
FN1,0.3684738955823293,,0.3700228652527005,
FNBP1L,,0.3393416927899687,,0.3705050505050505
FNDC4,,,0.3700228652527005,
FOLH1,0.3684738955823293,,0.3700228652527005,0.22902097902097904
FOXC1,,,0.3700228652527005,
FOXC2,,,0.3700228652527005,
FOXP2,,0.3393416927899687,,
FRAS1,0.3684738955823293,,,
FRMD4B,,0.3393416927899687,,
FRMPD1,0.3684738955823293,,,
FRS3,0.3684738955823293,,,
FRZB,0.3684738955823293,,0.3700228652527005,
FSCN1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
FSD1,,,0.3700228652527005,
FST,0.3684738955823293,0.3393416927899687,,
FSTL1,,0.3393416927899687,,
FSTL4,0.3684738955823293,0.3393416927899687,0.3700228652527005,
FSTL5,0.3684738955823293,0.3393416927899687,0.3700228652527005,
FURIN,,0.3393416927899687,0.3700228652527005,0.22902097902097904
FUT3,0.3684738955823293,0.3393416927899687,,
FUT7,,,,0.49522952295229516
FUT8,0.3684738955823293,0.3393416927899687,,
FXYD5,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.3705050505050505
FXYD6,0.3684738955823293,0.3393416927899687,,
FXYD7,0.3684738955823293,,,
FYB1,,0.3393416927899687,0.3700228652527005,0.22902097902097904
FYN,0.3684738955823293,0.3393416927899687,0.3700228652527005,
FZD1,0.3684738955823293,,,
FZD5,,0.3393416927899687,0.3700228652527005,0.22902097902097904
FZD6,0.3684738955823293,,0.3700228652527005,
FZD7,,0.3393416927899687,0.3700228652527005,0.3705050505050505
FZD8,0.3684738955823293,,,
G0S2,,,0.3700228652527005,
GAB1,0.3684738955823293,0.3393416927899687,,
GAB2,,,0.3700228652527005,
GABRA5,,0.3393416927899687,,
GABRB2,0.3684738955823293,,,
GAL,,0.3393416927899687,0.3700228652527005,
GALNT18,,0.3393416927899687,,0.3705050505050505
GANC,,,0.3700228652527005,
GAP43,0.3684738955823293,,0.3700228652527005,
GAS1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
GAS2L2,0.3684738955823293,,0.3700228652527005,
GAS6,,0.3393416927899687,0.3700228652527005,
GAS7,,0.3393416927899687,0.3700228652527005,
GBE1,,0.3393416927899687,,
GBP1,,0.3393416927899687,0.3700228652527005,0.22902097902097904
GBP2,,,,0.49522952295229516
GDF10,0.3684738955823293,0.3393416927899687,0.3700228652527005,
GDF11,,,0.3700228652527005,
GDNF,0.3684738955823293,0.3393416927899687,0.3700228652527005,
GDPD5,0.3684738955823293,,,
GEM,,,0.3700228652527005,
GFAP,0.3684738955823293,0.3393416927899687,0.3700228652527005,
GFRA1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
GFRA2,0.3684738955823293,,,
GGCX,0.3684738955823293,,0.3700228652527005,
GGH,,0.3393416927899687,,
GHDC,0.3684738955823293,,,
GID8,0.3684738955823293,,,
GIMAP4,,0.3393416927899687,0.3700228652527005,0.22902097902097904
GIPC1,,0.3393416927899687,,
GIT1,,0.3393416927899687,,
GIT2,,,0.3700228652527005,
GJA1,,0.3393416927899687,0.3700228652527005,
GJC1,,0.3393416927899687,,
GK,0.3684738955823293,,,
GLB1L2,0.3684738955823293,,,
GLDN,0.3684738955823293,,0.3700228652527005,
GLI2,,0.3393416927899687,,
GLI3,,,0.3700228652527005,
GLIPR1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
GLIS3,,0.3393416927899687,,
GLMN,,,0.3700228652527005,
GLP1R,,,,0.22902097902097904
GLRA2,0.3684738955823293,,,
GLS2,,,0.3700228652527005,
GNA13,0.3684738955823293,,0.3700228652527005,
GNA15,,0.3393416927899687,0.3700228652527005,0.22902097902097904
GNAI1,,0.3393416927899687,,
GNAI2,,0.3393416927899687,0.3700228652527005,
GNAQ,,,,0.22902097902097904
GNAZ,,0.3393416927899687,0.3700228652527005,0.22902097902097904
GNG11,,0.3393416927899687,,
GNS,,,0.3700228652527005,
GOLGA7B,,,,0.49522952295229516
GON4L,,,,0.49522952295229516
GPA33,,,0.3700228652527005,
GPATCH4,,0.3393416927899687,,
GPC4,0.3684738955823293,,,
GPM6A,0.3684738955823293,,0.3700228652527005,
GPM6B,0.3684738955823293,0.3393416927899687,0.3700228652527005,
GPNMB,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
GPR1,,,0.3700228652527005,
GPR12,0.3684738955823293,0.3393416927899687,0.3700228652527005,
GPR137,0.3684738955823293,,,
GPR17,0.3684738955823293,0.3393416927899687,0.3700228652527005,
GPR26,,,,0.22902097902097904
GPR68,,0.3393416927899687,,
GPRC5B,,0.3393416927899687,,0.22902097902097904
GPRIN1,,0.3393416927899687,0.3700228652527005,
GPRIN2,0.3684738955823293,,,0.22902097902097904
GPSM3,0.3684738955823293,0.3393416927899687,0.3700228652527005,
GPX1,,0.3393416927899687,,
GPX3,,,0.3700228652527005,
GRASP,0.3684738955823293,0.3393416927899687,,
GRB10,,0.3393416927899687,,0.22902097902097904
GRB2,0.3684738955823293,,0.3700228652527005,
GREM1,0.3684738955823293,,0.3700228652527005,
GREM2,0.3684738955823293,,0.3700228652527005,
GRIK2,,,0.3700228652527005,
GRIN1,0.3684738955823293,,0.3700228652527005,
GRIN2A,,0.3393416927899687,0.3700228652527005,0.22902097902097904
GRIN2B,,0.3393416927899687,,
GRIN2C,0.3684738955823293,,,
GRIN2D,,,0.3700228652527005,
GRK2,,0.3393416927899687,0.3700228652527005,
GRM2,,0.3393416927899687,0.3700228652527005,
GRM3,,,,0.49522952295229516
GRM4,,,,0.49522952295229516
GSAP,0.3684738955823293,,,
GSN,,0.3393416927899687,0.3700228652527005,
GTDC1,0.3684738955823293,,,
GTPBP1,,0.3393416927899687,0.3700228652527005,
GUCY1A2,,,0.3700228652527005,
GUK1,,,0.3700228652527005,
GULP1,0.3684738955823293,,0.3700228652527005,
GUSB,0.3684738955823293,,0.3700228652527005,
GYPC,,0.3393416927899687,0.3700228652527005,
GZF1,0.3684738955823293,,,
HABP2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
HACD4,,,0.3700228652527005,
HAGH,0.3684738955823293,,0.3700228652527005,
HAP1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
HAPLN2,0.3684738955823293,,0.3700228652527005,
HAPLN3,,0.3393416927899687,0.3700228652527005,0.22902097902097904
HASPIN,,0.3393416927899687,0.3700228652527005,
HAVCR2,,0.3393416927899687,0.3700228652527005,0.22902097902097904
HBEGF,0.3684738955823293,,0.3700228652527005,
HCLS1,,0.3393416927899687,0.3700228652527005,0.22902097902097904
HCST,,,,0.22902097902097904
HECW1,0.3684738955823293,,0.3700228652527005,
HEG1,,0.3393416927899687,0.3700228652527005,
HERPUD1,0.3684738955823293,,,
HES5,,0.3393416927899687,,
HEXB,,,0.3700228652527005,
HEY2,,,0.3700228652527005,
HID1,,0.3393416927899687,,
HLA-A,,0.3393416927899687,,0.22902097902097904
HLA-B,0.3684738955823293,0.3393416927899687,,0.22902097902097904
HLA-C,,0.3393416927899687,,0.22902097902097904
HLA-DMA,,0.3393416927899687,0.3700228652527005,0.22902097902097904
HLA-DMB,,0.3393416927899687,0.3700228652527005,0.22902097902097904
HLA-DOA,,0.3393416927899687,0.3700228652527005,0.22902097902097904
HLA-DPA1,,0.3393416927899687,0.3700228652527005,0.22902097902097904
HLA-DPB1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
HLA-DQB1,,0.3393416927899687,0.3700228652527005,0.22902097902097904
HLA-DRA,,0.3393416927899687,,0.22902097902097904
HLA-E,,0.3393416927899687,0.3700228652527005,0.22902097902097904
HLA-F,,0.3393416927899687,0.3700228652527005,0.22902097902097904
HMOX1,,0.3393416927899687,,
HOMER1,0.3684738955823293,,,
HOXB5,,,0.3700228652527005,
HP,0.3684738955823293,,0.3700228652527005,
HPX,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
HRAS,,,0.3700228652527005,
HRASLS,,,,0.49522952295229516
HS3ST2,0.3684738955823293,0.3393416927899687,,
HS3ST4,,,,0.3705050505050505
HS3ST5,0.3684738955823293,,0.3700228652527005,
HS6ST2,0.3684738955823293,,0.3700228652527005,
HSBP1,0.3684738955823293,0.3393416927899687,,
HSDL1,,,,0.22902097902097904
HSPA12A,0.3684738955823293,0.3393416927899687,,
HSPA12B,,,0.3700228652527005,
HSPA13,0.3684738955823293,,,
HSPB8,,,,0.49522952295229516
HTR2A,0.3684738955823293,,,
HTRA1,,0.3393416927899687,,
HYPK,,0.3393416927899687,,
ICAM1,0.3684738955823293,0.3393416927899687,,0.22902097902097904
ICAM2,,0.3393416927899687,0.3700228652527005,0.22902097902097904
ICAM5,,0.3393416927899687,0.3700228652527005,
ICOSLG,,0.3393416927899687,,
ID4,,,,0.22902097902097904
IDS,0.3684738955823293,0.3393416927899687,,0.22902097902097904
IER3,,0.3393416927899687,0.3700228652527005,0.22902097902097904
IFI27,,0.3393416927899687,0.3700228652527005,0.22902097902097904
IFI35,,,0.3700228652527005,0.3705050505050505
IFI44,,0.3393416927899687,0.3700228652527005,0.22902097902097904
IFI44L,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
IFI6,0.3684738955823293,0.3393416927899687,,0.22902097902097904
IFIT1,0.3684738955823293,0.3393416927899687,,0.3705050505050505
IFIT3,,,0.3700228652527005,0.22902097902097904
IFITM1,0.3684738955823293,0.3393416927899687,,0.3705050505050505
IFITM2,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
IFITM3,,0.3393416927899687,,
IFNAR1,0.3684738955823293,,0.3700228652527005,
IFNAR2,,0.3393416927899687,0.3700228652527005,
IFNGR1,0.3684738955823293,,,
IFT27,,0.3393416927899687,,
IFT81,,,0.3700228652527005,
IGDCC3,0.3684738955823293,0.3393416927899687,,
IGDCC4,0.3684738955823293,0.3393416927899687,,
IGF1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
IGFBP2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
IGFBP3,,0.3393416927899687,0.3700228652527005,
IGFBP5,,0.3393416927899687,0.3700228652527005,0.22902097902097904
IGFBP7,0.3684738955823293,,0.3700228652527005,
IGLON5,,,0.3700228652527005,0.22902097902097904
IGSF1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
IGSF3,0.3684738955823293,0.3393416927899687,0.3700228652527005,
IKZF1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
IL10RA,,0.3393416927899687,0.3700228652527005,
IL11RA,0.3684738955823293,,0.3700228652527005,
IL13RA1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
IL16,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
IL17RD,,,0.3700228652527005,
IL18BP,,0.3393416927899687,0.3700228652527005,
IL1R1,0.3684738955823293,0.3393416927899687,,
IL27RA,0.3684738955823293,0.3393416927899687,,
IL2RA,,0.3393416927899687,0.3700228652527005,0.22902097902097904
IL2RB,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
IL2RG,,0.3393416927899687,0.3700228652527005,0.3705050505050505
IL6R,,0.3393416927899687,0.3700228652527005,
IL6ST,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.3705050505050505
IL7R,,0.3393416927899687,0.3700228652527005,0.22902097902097904
IMPAD1,,0.3393416927899687,,
INHA,,,0.3700228652527005,
INHBC,,,0.3700228652527005,
INPP5A,,,0.3700228652527005,
INPP5B,0.3684738955823293,,,
INPP5D,0.3684738955823293,0.3393416927899687,0.3700228652527005,
INSM1,,,0.3700228652527005,
INSR,,0.3393416927899687,0.3700228652527005,
INTS14,,0.3393416927899687,,
INTS6L,0.3684738955823293,,0.3700228652527005,
INVS,,,0.3700228652527005,
IP6K3,0.3684738955823293,,0.3700228652527005,
IPMK,,,,0.49522952295229516
IQSEC1,0.3684738955823293,0.3393416927899687,,0.3705050505050505
IRAK1,0.3684738955823293,0.3393416927899687,,
IRAK4,,0.3393416927899687,,
IRF1,,0.3393416927899687,0.3700228652527005,0.22902097902097904
IRF3,0.3684738955823293,0.3393416927899687,,
IRF4,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
IRF7,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
IRF8,,0.3393416927899687,,0.22902097902097904
IRF9,,0.3393416927899687,,0.3705050505050505
IRS1,0.3684738955823293,,0.3700228652527005,
IRS2,0.3684738955823293,,0.3700228652527005,
ISG15,,,,0.22902097902097904
ISLR,0.3684738955823293,,0.3700228652527005,
ISLR2,0.3684738955823293,,0.3700228652527005,
ITCH,,,0.3700228652527005,
ITFG1,,0.3393416927899687,,0.22902097902097904
ITGA2,0.3684738955823293,,0.3700228652527005,
ITGA2B,,,0.3700228652527005,
ITGA3,0.3684738955823293,,0.3700228652527005,
ITGA5,,0.3393416927899687,0.3700228652527005,
ITGA6,0.3684738955823293,0.3393416927899687,0.3700228652527005,
ITGA7,0.3684738955823293,,0.3700228652527005,
ITGA8,0.3684738955823293,,0.3700228652527005,
ITGA9,0.3684738955823293,,0.3700228652527005,
ITGAE,,0.3393416927899687,0.3700228652527005,
ITGAM,,0.3393416927899687,,
ITGB1,0.3684738955823293,,0.3700228652527005,
ITGB2,,0.3393416927899687,0.3700228652527005,0.22902097902097904
ITGB3,,,0.3700228652527005,
ITGB4,0.3684738955823293,0.3393416927899687,,0.22902097902097904
ITGB5,,0.3393416927899687,,0.22902097902097904
ITGB8,,0.3393416927899687,,
ITIH5,,0.3393416927899687,,
ITK,,0.3393416927899687,0.3700228652527005,0.22902097902097904
ITM2A,0.3684738955823293,0.3393416927899687,0.3700228652527005,
ITM2B,0.3684738955823293,,0.3700228652527005,
ITPKB,,0.3393416927899687,0.3700228652527005,
ITPRIPL1,,,,0.49522952295229516
JAG1,,,0.3700228652527005,
JAG2,0.3684738955823293,,0.3700228652527005,
JAK1,,0.3393416927899687,,
JAK2,,,0.3700228652527005,
JAK3,0.3684738955823293,0.3393416927899687,0.3700228652527005,
JAM2,,0.3393416927899687,,
JAM3,0.3684738955823293,0.3393416927899687,0.3700228652527005,
JPH3,,0.3393416927899687,,0.22902097902097904
KATNAL1,0.3684738955823293,,,0.22902097902097904
KATNBL1,,,0.3700228652527005,
KCNIP4,0.3684738955823293,,,0.3705050505050505
KCNMB1,0.3684738955823293,,,
KCNMB4,0.3684738955823293,,,0.22902097902097904
KCNT2,0.3684738955823293,,,
KDELR3,,0.3393416927899687,,
KDM3A,,,0.3700228652527005,0.49522952295229516
KDR,,,0.3700228652527005,
KIAA0319,,,,0.3705050505050505
KIAA1549,,0.3393416927899687,,
KIR2DL4,,0.3393416927899687,0.3700228652527005,
KIRREL3,0.3684738955823293,,0.3700228652527005,
KISS1R,,0.3393416927899687,,
KIT,0.3684738955823293,,0.3700228652527005,
KITLG,0.3684738955823293,,,
KLC4,,0.3393416927899687,,
KLF10,,0.3393416927899687,,0.49522952295229516
KLF15,0.3684738955823293,0.3393416927899687,,
KLF6,,0.3393416927899687,,0.3705050505050505
KLHL15,0.3684738955823293,,0.3700228652527005,
KLHL17,0.3684738955823293,,0.3700228652527005,
KLK6,,,0.3700228652527005,
KREMEN1,,,,0.3705050505050505
L1CAM,0.3684738955823293,0.3393416927899687,,
L2HGDH,,0.3393416927899687,,
LAIR1,,0.3393416927899687,0.3700228652527005,0.22902097902097904
LAIR2,,,0.3700228652527005,
LAMA2,0.3684738955823293,,0.3700228652527005,
LAMA4,,0.3393416927899687,0.3700228652527005,
LAMA5,0.3684738955823293,0.3393416927899687,0.3700228652527005,
LAMB1,0.3684738955823293,,0.3700228652527005,
LAMB2,,0.3393416927899687,,
LAMC1,,0.3393416927899687,,
LAMP1,0.3684738955823293,,,
LAP3,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
LAPTM4B,,0.3393416927899687,,0.22902097902097904
LAPTM5,,0.3393416927899687,0.3700228652527005,0.22902097902097904
LARGE1,,0.3393416927899687,,
LAT,,0.3393416927899687,0.3700228652527005,
LAT2,,0.3393416927899687,0.3700228652527005,
LAX1,,0.3393416927899687,,0.3705050505050505
LAYN,,0.3393416927899687,0.3700228652527005,
LBH,,0.3393416927899687,0.3700228652527005,
LBP,,0.3393416927899687,,
LCNL1,0.3684738955823293,,,
LCP1,,0.3393416927899687,0.3700228652527005,0.22902097902097904
LDB3,,,0.3700228652527005,
LDLR,,,0.3700228652527005,
LDLRAP1,,0.3393416927899687,,
LEFTY2,,,,0.22902097902097904
LEPR,,0.3393416927899687,,
LEPROT,,,0.3700228652527005,
LGALS1,,0.3393416927899687,,
LGALS3,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
LGALS3BP,,0.3393416927899687,,
LGALS4,0.3684738955823293,0.3393416927899687,,
LGALS8,0.3684738955823293,0.3393416927899687,0.3700228652527005,
LGALS9,0.3684738955823293,0.3393416927899687,0.3700228652527005,
LGI1,0.3684738955823293,0.3393416927899687,0.3700228652527005,
LGI3,0.3684738955823293,,,
LHFPL2,0.3684738955823293,,,
LHFPL3,0.3684738955823293,,,
LHFPL6,0.3684738955823293,0.3393416927899687,,
LIMA1,,0.3393416927899687,0.3700228652527005,
LIMK1,,0.3393416927899687,0.3700228652527005,
LIMK2,,0.3393416927899687,0.3700228652527005,
LIMS1,0.3684738955823293,,,
LIMS2,0.3684738955823293,,0.3700228652527005,
LIN7A,0.3684738955823293,0.3393416927899687,,
LIN7C,,,0.3700228652527005,
LINGO1,,0.3393416927899687,,0.22902097902097904
LINGO2,0.3684738955823293,,0.3700228652527005,
LIPG,,,,0.49522952295229516
LIX1,,0.3393416927899687,,
LMBR1,,,,0.22902097902097904
LMBRD1,0.3684738955823293,0.3393416927899687,,
LMF1,0.3684738955823293,,,
LMNA,0.3684738955823293,,0.3700228652527005,
LMTK2,0.3684738955823293,,,
LNX1,0.3684738955823293,,0.3700228652527005,
LNX2,,,0.3700228652527005,
LPAR1,0.3684738955823293,,0.3700228652527005,
LPAR5,0.3684738955823293,0.3393416927899687,,
LPAR6,0.3684738955823293,,,
LPCAT4,,0.3393416927899687,0.3700228652527005,
LPXN,,0.3393416927899687,0.3700228652527005,0.22902097902097904
LRFN1,,0.3393416927899687,0.3700228652527005,
LRFN3,0.3684738955823293,,0.3700228652527005,
LRFN5,0.3684738955823293,,0.3700228652527005,
LRIG1,,0.3393416927899687,,
LRIG2,,,0.3700228652527005,
LRMP,,,0.3700228652527005,0.3705050505050505
LRP1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
LRP10,0.3684738955823293,,,
LRP12,,,0.3700228652527005,
LRP1B,0.3684738955823293,0.3393416927899687,0.3700228652527005,
LRP2,0.3684738955823293,0.3393416927899687,0.3700228652527005,
LRP2BP,0.3684738955823293,0.3393416927899687,,0.22902097902097904
LRP6,0.3684738955823293,0.3393416927899687,0.3700228652527005,
LRP8,,0.3393416927899687,,
LRPAP1,0.3684738955823293,0.3393416927899687,,
LRRC1,,,0.3700228652527005,
LRRC17,0.3684738955823293,,,
LRRC20,,,0.3700228652527005,
LRRC23,,,0.3700228652527005,
LRRC3B,0.3684738955823293,,,
LRRC4B,,0.3393416927899687,,
LRRC4C,0.3684738955823293,,0.3700228652527005,
LRRC7,,0.3393416927899687,0.3700228652527005,0.22902097902097904
LRRC8C,,0.3393416927899687,0.3700228652527005,
LRRN1,,,0.3700228652527005,
LRRN2,,0.3393416927899687,0.3700228652527005,0.22902097902097904
LRRN4CL,0.3684738955823293,,0.3700228652527005,
LRRTM4,0.3684738955823293,0.3393416927899687,0.3700228652527005,
LRTM2,,,0.3700228652527005,
LTB,,0.3393416927899687,0.3700228652527005,0.22902097902097904
LTBP1,,,0.3700228652527005,
LTBP3,0.3684738955823293,,,0.22902097902097904
LTBP4,0.3684738955823293,,,
LURAP1L,0.3684738955823293,,0.3700228652527005,
LY6E,,0.3393416927899687,0.3700228652527005,0.22902097902097904
LYN,,,0.3700228652527005,
LYPD1,,0.3393416927899687,,
LYPD6,,,0.3700228652527005,
MACO1,0.3684738955823293,,,
MADCAM1,0.3684738955823293,,,
MAFB,0.3684738955823293,,,
MAGI2,,0.3393416927899687,,
MAGI3,0.3684738955823293,,0.3700228652527005,
MAL,,0.3393416927899687,0.3700228652527005,
MAL2,,,,0.3705050505050505
MAN1C1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
MAN2A2,,0.3393416927899687,0.3700228652527005,
MANBA,0.3684738955823293,0.3393416927899687,0.3700228652527005,
MAOA,,,,0.3705050505050505
MAOB,0.3684738955823293,,,
MAP2,,0.3393416927899687,,
MAP3K11,,,0.3700228652527005,
MAP3K9,,,,0.3705050505050505
MAP4K1,0.3684738955823293,0.3393416927899687,0.3700228652527005,0.22902097902097904
MAP4K4,0.3684738955823293,0.3393416927899687,0.3700228652527005,
MAPRE3,,0.3393416927899687,,
MAPT,0.3684738955823293,0.3393416927899687,,0.49522952295229516
MASP1,0.3684738955823293,,0.3700228652527005,
MAST2,,0.3393416927899687,0.3700228652527005,
MATK,,,0.3700228652527005,
MBP,0.3684738955823293,0.3393416927899687,0.3700228652527005,
